price,m2_price,square,rooms,district,micro_district,building_type,floor,floors,condition,building_age,floor_to_floors,is_good_floor
57000,1086,52,2,2,0,2,9,9,5,32,1.0,0
58000,1450,40,1,3,1,2,2,9,5,8,0.2222222222222222,1
47500,1131,42,1,0,1,1,1,10,5,6,0.1,0
51000,1000,51,1,0,3,0,2,9,5,43,0.2222222222222222,1
73000,1043,70,2,1,0,2,7,10,5,6,0.7,0
65000,1043,62,2,2,2,1,12,13,5,7,0.9230769230769231,0
134000,1008,133,4,2,4,2,12,12,5,8,1.0,0
117000,1170,100,3,3,4,2,6,12,5,11,0.5,1
110000,1102,100,3,0,1,1,7,9,5,20,0.7777777777777778,0
66500,1018,65,2,0,0,2,3,9,5,11,0.3333333333333333,1
165000,1269,130,3,2,4,1,15,15,5,5,1.0,0
147000,1176,125,3,1,0,2,5,12,5,7,0.4166666666666667,1
105000,938,112,3,1,0,2,5,5,5,10,1.0,0
56000,1302,43,2,1,2,2,4,4,5,45,1.0,0
49500,1151,43,2,3,1,2,4,4,5,55,1.0,0
54000,942,57,2,2,2,1,2,14,5,5,0.14285714285714285,1
65000,1161,56,2,1,0,0,1,9,5,6,0.1111111111111111,0
49500,1062,47,2,0,1,2,2,4,5,45,0.5,1
38500,1328,29,1,3,2,2,1,3,5,65,0.3333333333333333,0
60000,1200,50,2,3,0,2,4,5,5,42,0.8,0
78000,1147,68,2,1,2,2,10,10,5,5,1.0,0
26000,667,39,1,2,1,2,2,5,5,2,0.4,1
32000,667,48,1,0,1,1,7,10,5,2,0.7,0
240000,1426,168,4,3,1,2,5,9,5,11,0.5555555555555556,0
80000,1379,58,2,3,3,2,2,12,5,7,0.16666666666666666,1
225000,1372,164,6 и более,2,3,2,3,3,5,5,1.0,0
101000,1202,84,2,2,2,2,2,9,5,6,0.2222222222222222,1
67500,1274,53,2,2,0,1,2,9,5,45,0.2222222222222222,1
61000,1052,58,3,2,3,0,5,5,5,45,1.0,0
67500,804,84,2,1,0,2,9,9,5,6,1.0,0
115000,935,123,4,0,1,1,4,5,5,20,0.8,0
63500,992,64,3,1,2,0,6,9,5,45,0.6666666666666666,0
48000,1200,40,1,2,2,2,8,12,5,4,0.6666666666666666,0
81000,1350,60,3,0,1,0,1,9,5,36,0.1111111111111111,0
99000,1291,77,3,1,2,2,6,11,5,10,0.5454545454545454,0
68000,1417,48,2,1,4,0,5,5,5,35,1.0,0
84500,1154,73,2,0,2,2,11,12,5,3,0.9166666666666666,0
109000,1059,103,3,1,3,2,1,10,5,5,0.1,0
81000,871,93,3,1,0,1,11,12,5,3,0.9166666666666666,0
58000,1208,48,1,2,0,1,10,12,5,7,0.8333333333333334,0
50000,1250,40,1,1,2,1,8,10,5,8,0.8,0
57000,1149,50,2,1,2,0,3,4,5,50,0.75,0
56000,1143,49,1,1,0,2,9,12,5,3,0.75,0
56500,1284,44,1,2,3,1,10,12,5,3,0.8333333333333334,0
77000,1013,76,2,1,2,0,9,9,5,11,1.0,0
60000,1034,58,3,2,2,0,2,4,4,6,0.5,1
52500,1221,43,1,3,3,2,7,10,5,3,0.7,0
35000,627,56,2,0,1,2,9,9,5,4,1.0,0
97000,1366,71,3,3,3,2,4,4,5,54,1.0,0
145000,1295,112,4,2,1,1,3,12,5,5,0.25,1
68000,1133,60,3,2,2,2,2,9,5,13,0.2222222222222222,1
77500,1384,56,2,1,2,2,1,5,5,26,0.2,0
53760,750,72,3,1,0,1,5,10,2,2,0.5,1
135000,1063,127,3,0,1,0,2,10,6,5,0.2,1
85000,1052,81,2,1,0,1,2,14,2,3,0.14285714285714285,1
93800,980,96,2,1,0,1,9,12,2,4,0.75,0
109889,1070,103,3,1,0,1,12,16,2,3,0.75,0
100000,1342,74,2,3,4,1,5,12,5,7,0.4166666666666667,1
54000,931,58,2,1,1,1,7,7,5,5,1.0,0
88000,1054,83,2,1,0,2,12,12,5,4,1.0,0
96500,1060,91,3,2,1,1,12,12,5,5,1.0,0
33000,902,37,1,1,0,2,3,12,5,2,0.25,1
54000,1102,49,2,1,1,1,1,8,5,8,0.125,0
75000,1210,62,3,2,4,0,2,5,6,6,0.4,1
90000,1125,80,2,2,4,2,7,10,5,11,0.7,0
132000,1086,122,3,3,4,1,8,17,5,7,0.47058823529411764,1
130000,1182,110,2,2,4,2,7,10,5,11,0.7,0
52500,1500,35,1,1,2,0,5,9,5,42,0.5555555555555556,0
30500,681,45,1,3,3,1,14,16,5,2,0.875,0
53500,1163,46,1,2,0,0,1,9,5,45,0.1111111111111111,0
97500,1108,88,3,3,4,1,13,13,5,10,1.0,0
128000,1280,100,4,2,4,2,5,9,6,9,0.5555555555555556,0
97000,990,98,4,1,2,0,3,4,6,4,0.75,0
59000,937,63,2,2,2,0,5,9,6,17,0.5555555555555556,0
80000,650,123,3,2,0,1,10,11,5,3,0.9090909090909091,0
